curso_academico,cod_universidad,des_universidad,des_tipo_estudio,des_tipo_unidad_responsable,cod_unidad_responsable,des_unidad_responsable,cod_titulacion,des_titulacion,des_rama,cod_interuniversitario,des_interuniversitario,des_rol_coordinacion,des_impartida,anio_inicio,des_situacion_actual,des_grado_presencialidad,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,7700001,Grado-Abierto-UC3M-en-Ciencias-Sociales-y-Humanidades,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2016,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,21.39,40.02,82.3,113.71,,,120,186
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,7700002,Grado-Abierto-UC3M-en-Ingenieria,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2016,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,120,998
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28050461,Facultad-de-Ciencias-Sociales-y-Juridicas,2500030,Grado-en-Administracion-de-Empresas,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,549
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500030,Grado-en-Administracion-de-Empresas,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,21.39,40.02,82.3,113.71,,,240,549
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2503783,Grado-en-Ciencia-e-Ingenieria-de-Datos,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2018,Activo,Presencial,Se-oferta-en-Ingles,24.55,45.25,92.86,128.57,,,240,120
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500024,Grado-en-Ciencias-Politicas,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,276
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2500025,Grado-en-Comunicacion-Audiovisual,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,21.39,40.02,82.3,113.71,,,240,357
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28050461,Facultad-de-Ciencias-Sociales-y-Juridicas,2500026,Grado-en-Derecho,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,342
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500026,Grado-en-Derecho,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,342
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500119,Grado-en-Economia,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,21.39,40.02,82.3,113.71,,,240,276
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2503790,Grado-en-Empresa-y-Tecnologia,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2018,Activo,Presencial,Se-oferta-en-Ingles,21.39,40.02,82.3,113.71,,,240,126
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500027,Grado-en-Estadistica-y-Empresa,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,315
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2503917,Grado-en-Estudios-Culturales,Artes-y-Humanidades,0,No-es-Interuniversitario,No-Aplica,true,2019,Activo,Presencial,Se-oferta-en-Ingles,21.39,40.02,82.3,113.71,,,240,138
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2502997,Grado-en-Estudios-Internacionales,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2014,Activo,Presencial,Se-oferta-en-Ingles,21.39,40.02,82.3,113.71,,,240,501
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2503809,Grado-en-Filosofia-Politica-y-Economia,Ciencias-Sociales-y-Juridicas,1,Interuniversitario-con-Universidades-espaniolas,La-Universidad-NO-es-la-coordinadora-del-estudio-Interuniversitario,true,2018,Activo,Presencial,Se-oferta-en-Ingles,21.39,40.02,82.3,113.71,,,240,234
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2502922,Grado-en-Filosofia-Politica-y-Economia,Ciencias-Sociales-y-Juridicas,1,Interuniversitario-con-Universidades-espaniolas,La-Universidad-NO-es-la-coordinadora-del-estudio-Interuniversitario,true,2013,En-proceso-de-extincion,Presencial,Se-oferta-en-Ingles,21.39,40.02,82.3,113.71,,,240,628
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500155,Grado-en-Finanzas-y-Contabilidad,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,21.39,40.02,82.3,113.71,,,240,276
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2503593,Grado-en-Gestion-de-la-Informacion-y-Contenidos-Digitales,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2017,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,288
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28051864,Centro-Universitario-Guardia-Civil,2503333,Grado-en-Gestion-de-Seguridad-Publica,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2017,Activo,Presencial,No-se-oferta-en-idioma-extranjero,0,0,,,,,240,120
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2503797,Grado-en-Historia-y-Politica,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2018,Activo,Presencial,Se-oferta-en-Ingles,21.39,40.02,82.3,113.71,,,240,159
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2500120,Grado-en-Humanidades,Artes-y-Humanidades,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,300
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2500131,Grado-en-Informacion-y-Documentacion-Semipresencial,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,En-proceso-de-extincion,Varias-modalidades,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,192
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2501584,Grado-en-Ingenieria-Aeroespacial,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,Se-oferta-en-Ingles,24.55,45.25,92.86,128.57,,,240,531
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2501585,Grado-en-Ingenieria-Biomedica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,Se-oferta-en-Ingles,26.14,48.03,98.75,136.44,,,240,222
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500045,Grado-en-Ingenieria-de-Comunicaciones-Moviles-y-Espaciales,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,483
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2502850,Grado-en-Ingenieria-de-la-Energia,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2013,Activo,Presencial,Se-oferta-en-Ingles,24.55,45.25,92.86,128.57,,,240,423
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28051864,Centro-Universitario-Guardia-Civil,2502665,Grado-en-Ingenieria-de-la-Seguridad,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2012,Activo,Presencial,No-se-oferta-en-idioma-extranjero,0,0,,,,,240,186
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500184,Grado-en-Ingenieria-de-Sonido-e-Imagen,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,486
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500188,Grado-en-Ingenieria-Electrica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,150
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500196,Grado-en-Ingenieria-Electronica-Industrial-y-Automatica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,153
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2501586,Grado-en-Ingenieria-en-Tecnologias-de-Telecomunicacion,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,150
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2502457,Grado-en-Ingenieria-en-Tecnologias-Industriales,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2010,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,615
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2503905,Grado-en-Ingenieria-Fisica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2019,Activo,Presencial,Se-oferta-en-Ingles,24.55,45.25,92.86,128.57,,,240,150
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500046,Grado-en-Ingenieria-Informatica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,156
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28051244,Escuela-Politecnica-Superior,2500046,Grado-en-Ingenieria-Informatica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,24.55,45.25,92.86,128.57,,,240,156
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500048,Grado-en-Ingenieria-Mecanica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,150
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28042292,Escuela-Politecnica-Superior,2500159,Grado-en-Ingenieria-Telematica,Ingenieria-y-Arquitectura,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,24.55,45.25,92.86,128.57,,,240,162
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28048385,Facultad-de-Humanidades-Comunicacion-y-Documentacion,2500028,Grado-en-Periodismo,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,Existen-planes-separados-uno-de-ellos-en-Ingles,21.39,40.02,82.3,113.71,,,240,519
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500118,Grado-en-Relaciones-Laborales-y-Empleo,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,381
2021-22,036,Universidad-Carlos-III-de-Madrid,Grado,Centro,28041822,Facultad-de-Ciencias-Sociales-y-Juridicas,2500187,Grado-en-Sociologia,Ciencias-Sociales-y-Juridicas,0,No-es-Interuniversitario,No-Aplica,true,2008,Activo,Presencial,No-se-oferta-en-idioma-extranjero,21.39,40.02,82.3,113.71,,,240,213
